name,latitude,longitude
West Virginia University,39.27978885,-80.3438921
Western Michigan University,42.28333755,-85.60950673
Western Washington University,48.727623,-122.4898664
Wilkes University,41.2444276,-75.89029117
Abilene Christian University,32.4699728,-99.70735955
Adrian College,41.89849465,-84.06083279
Albright College,40.3609263,-75.9096509
Alfred University,42.255862,-77.78570871
The University of the Arts,39.9460063,-75.16559732
Berklee College of Music,42.3468987,-71.0882969
Biola University,33.9063873,-118.0151319
"California State University, Dominguez Hills",33.86273425,-118.2543981
"California State University, Los Angeles",33.7817687,-118.1151997
Central Washington University,47.00646895,-120.5367304
College of Charleston,32.7844246,-79.93811494
Columbus College of Art & Design,39.9650847,-82.99043153
Concordia University Wisconsin,43.25434005,-87.91478392
Covenant College,34.9654615,-85.3749113
Daemen College,42.964554,-78.7886504
East Carolina University,35.60737685,-77.36715661
Eastern Connecticut State University,41.7209383,-72.21764095
Emerson College,42.3521996,-71.0656808
Emmanuel College,42.3406888,-71.10291143
Georgetown College,38.2072849,-84.5547021
Georgia State University,33.7535889,-84.3854699
Georgian Court University,40.0978515,-74.22846476
Hardin-Simmons University,32.4777117,-99.73415759
High Point University,35.9720859,-79.9936582
Hood College,39.4229618,-77.41891707
University of Houston-Downtown,29.7661239,-95.35963163
Humboldt State University,40.87558755,-124.0779998
Idaho State University,42.859944,-112.4078309
University of the Incarnate Word,29.4688466,-98.46910391
University of Indianapolis,39.70939645,-86.13445225
Kean University,40.6786462,-74.2342993
LIU Post,40.8172349,-73.5900738
La Sierra University,33.9101505,-117.4957465
University of La Verne,34.0998636,-117.7726319
Lesley University,42.387085,-71.11840422
Lipscomb University,36.10507165,-86.79864092
Loras College,42.5041692,-90.6815163
Manchester University,41.01177555,-85.76000954
Manhattanville College,41.0313935,-73.7155858
University of Mary Washington,38.30079105,-77.47342646
University of Massachusetts Dartmouth,41.6295897,-71.0061861
University of Massachusetts Lowell,42.6519097,-71.31736284
University of Memphis,35.1189387,-89.9372196
